Fecha,Media_Sin_Covid,IC_Inf_Sin_Covid,IC_Sup_Sin_Covid,Media_Con_Covid,IC_Inf_Con_Covid,IC_Sup_Con_Covid,Diferencia_Covid,Nivel_Rio_Exog
2025-08-01,55029.56837158746,49555.53903449337,60503.597708681555,55005.89461019833,49531.86527310424,60479.923947292424,-23.67376138913096,1.97
2025-09-01,55073.641982066874,47332.19545272021,62815.08851141354,55049.96822067775,47308.52169133109,62791.414750024414,-23.673761389123683,1.18
2025-10-01,55090.37879617298,45609.081862203435,64571.67573014253,55066.70503478386,45585.40810081431,64548.00196875341,-23.673761389123683,0.88
2025-11-01,55078.10513249517,44130.046458306984,66026.16380668335,55054.431371106046,44106.37269691787,66002.49004529422,-23.673761389123683,1.1
2025-12-01,55082.01038911993,42841.70868054943,67322.31209769043,55058.3366277308,42818.0349191603,67298.6383363013,-23.67376138913096,1.03
2026-01-01,55059.69463697845,41651.11592407228,68468.27334988462,55036.020875589325,41627.442162683146,68444.5995884955,-23.673761389123683,1.43
2026-02-01,55056.34727415723,40573.42697873451,69539.26756957996,55032.6735127681,40549.75321734538,69515.59380819082,-23.67376138913096,1.49
2026-03-01,55064.157787406744,39581.26472871341,70547.05084610007,55040.48402601762,39557.590967324286,70523.37708471096,-23.673761389123683,1.35
2026-04-01,55045.18939808649,38623.10138680422,71467.27740936876,55021.51563669737,38599.42762541509,71443.60364797965,-23.673761389123683,1.69
2026-05-01,54964.85269037718,37654.45200657821,72275.25337417614,54941.178928988054,37630.77824518909,72251.57961278703,-23.673761389123683,3.13
2026-06-01,54940.30536302155,36785.00396048255,73095.60676556054,54916.63160163243,36761.33019909343,73071.93300417143,-23.673761389123683,3.57
2026-07-01,54968.2000531984,36005.60618525931,73930.79392113749,54944.52629180928,35981.93242387018,73907.12015974837,-23.673761389123683,3.07
2026-08-01,55002.23157521415,35265.338116927254,74739.12503350104,54978.55781382503,35241.66435553813,74715.45127211192,-23.673761389123683,2.46
2026-09-01,55050.21044231833,34568.26813776296,75532.15274687369,55026.5366809292,34544.59437637383,75508.47898548457,-23.673761389123683,1.6
2026-10-01,55068.06304403151,33867.23858481526,76268.88750324775,55044.38928264238,33843.564823426146,76245.21374185862,-23.673761389123683,1.28
2026-11-01,55058.57884937138,33162.46150099501,76954.69619774775,55034.90508798225,33138.78773960589,76931.02243635862,-23.673761389123683,1.45
2026-12-01,55062.48410599614,32492.48295142738,77632.48526056489,55038.81034460701,32468.80919003825,77608.81149917576,-23.67376138913096,1.38
2027-01-01,55041.84203526527,31817.50244722527,78266.18162330527,55018.168273876145,31793.828685836146,78242.50786191615,-23.673761389123683,1.75
2027-02-01,55040.168353854664,31179.427659484576,78900.90904822476,55016.49459246553,31155.753898095445,78877.23528683562,-23.67376138913096,1.78
2027-03-01,55049.65254851479,30569.04913137379,79530.25596565579,55025.97878712566,30545.375369984667,79506.58220426666,-23.673761389123683,1.61
2027-04-01,55031.24205299807,29946.088259355463,80116.39584664069,55007.56829160894,29922.414497966332,80092.72208525156,-23.67376138913096,1.94
2027-05-01,54952.579026699364,29277.10555425744,80628.05249914128,54928.90526531024,29253.431792868316,80604.37873775217,-23.673761389123683,3.35
2027-06-01,54929.14748695082,28676.625032576347,81181.6699413253,54905.47372556169,28652.951271187223,81157.99617993616,-23.673761389123683,3.77
2027-07-01,54928.58959314728,28111.432167334926,81745.74701895964,54904.91583175815,28087.758405945802,81722.0732575705,-23.673761389123683,3.78
