Fecha,Media,IC_Inferior,IC_Superior,Nivel_Rio_Exog,Cuarentena_Covid
2025-08-01,55029.56837158746,49555.53903449337,60503.597708681555,1.97,0
2025-09-01,55073.641982066874,47332.19545272021,62815.08851141354,1.18,0
2025-10-01,55090.37879617298,45609.081862203435,64571.67573014253,0.88,0
2025-11-01,55078.10513249517,44130.046458306984,66026.16380668335,1.1,0
2025-12-01,55082.01038911993,42841.70868054943,67322.31209769043,1.03,0
2026-01-01,55059.69463697845,41651.11592407228,68468.27334988462,1.43,0
2026-02-01,55056.34727415723,40573.42697873451,69539.26756957996,1.49,0
2026-03-01,55064.157787406744,39581.26472871341,70547.05084610007,1.35,0
2026-04-01,55045.18939808649,38623.10138680422,71467.27740936876,1.69,0
2026-05-01,54964.85269037718,37654.45200657821,72275.25337417614,3.13,0
2026-06-01,54940.30536302155,36785.00396048255,73095.60676556054,3.57,0
2026-07-01,54968.2000531984,36005.60618525931,73930.79392113749,3.07,0
2026-08-01,55002.23157521415,35265.338116927254,74739.12503350104,2.46,0
2026-09-01,55050.21044231833,34568.26813776296,75532.15274687369,1.6,0
2026-10-01,55068.06304403151,33867.23858481526,76268.88750324775,1.28,0
2026-11-01,55058.57884937138,33162.46150099501,76954.69619774775,1.45,0
2026-12-01,55062.48410599614,32492.48295142738,77632.48526056489,1.38,0
2027-01-01,55041.84203526527,31817.50244722527,78266.18162330527,1.75,0
2027-02-01,55040.168353854664,31179.427659484576,78900.90904822476,1.78,0
2027-03-01,55049.65254851479,30569.04913137379,79530.25596565579,1.61,0
2027-04-01,55031.24205299807,29946.088259355463,80116.39584664069,1.94,0
2027-05-01,54952.579026699364,29277.10555425744,80628.05249914128,3.35,0
2027-06-01,54929.14748695082,28676.625032576347,81181.6699413253,3.77,0
2027-07-01,54928.58959314728,28111.432167334926,81745.74701895964,3.78,0
